country,date,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Afghanistan,2021-02-22,55617,2433,48895.0,4289.0,142.8702035,4.374561735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca
Afghanistan,2021-02-23,55646,2435,48967.0,4244.0,142.9446993,4.375876074,0.0,0.0,0.0,0.0,1367.0,0.0,0.0,0.0,35.0,Oxford/AstraZeneca
Afghanistan,2021-02-24,55664,2436,49086.0,4142.0,142.9909381,4.376257545,0.0,0.0,0.0,0.0,1367.0,0.0,0.0,0.0,35.0,Oxford/AstraZeneca
Afghanistan,2021-02-25,55680,2438,49281.0,3961.0,143.0320393,4.378591954,0.0,0.0,0.0,0.0,1367.0,0.0,0.0,0.0,35.0,Oxford/AstraZeneca
Afghanistan,2021-02-26,55696,2442,49285.0,3969.0,143.0731405,4.384515944,0.0,0.0,0.0,0.0,1367.0,0.0,0.0,0.0,35.0,Oxford/AstraZeneca
Afghanistan,2021-02-27,55707,2443,49288.0,3976.0,143.1013975,4.385445276,0.0,0.0,0.0,0.0,1367.0,0.0,0.0,0.0,35.0,Oxford/AstraZeneca
Afghanistan,2021-02-28,55714,2443,49333.0,3938.0,143.1193793,4.384894282,8200.0,8200.0,0.0,0.0,1367.0,0.02,0.02,0.0,35.0,Oxford/AstraZeneca
Afghanistan,2021-03-01,55733,2444,49344.0,3945.0,143.1681869,4.385193691,0.0,0.0,0.0,0.0,1580.0,0.0,0.0,0.0,41.0,Oxford/AstraZeneca
Afghanistan,2021-03-02,55759,2446,49347.0,3966.0,143.2349763,4.386735774,0.0,0.0,0.0,0.0,1794.0,0.0,0.0,0.0,46.0,Oxford/AstraZeneca
Afghanistan,2021-03-03,55770,2446,49359.0,3965.0,143.2632333,4.38587054,0.0,0.0,0.0,0.0,2008.0,0.0,0.0,0.0,52.0,Oxford/AstraZeneca
Afghanistan,2021-03-04,55775,2446,49362.0,3967.0,143.2760774,4.385477364,0.0,0.0,0.0,0.0,2221.0,0.0,0.0,0.0,57.0,Oxford/AstraZeneca
Afghanistan,2021-03-05,55827,2449,49362.0,4016.0,143.4096562,4.38676626,0.0,0.0,0.0,0.0,2435.0,0.0,0.0,0.0,63.0,Oxford/AstraZeneca
Afghanistan,2021-03-06,55840,2449,49369.0,4022.0,143.4430509,4.385744986,0.0,0.0,0.0,0.0,2649.0,0.0,0.0,0.0,68.0,Oxford/AstraZeneca
Afghanistan,2021-03-07,55847,2449,49378.0,4020.0,143.4610327,4.385195266,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-08,55876,2451,49402.0,4023.0,143.5355285,4.386498676,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-09,55876,2451,49409.0,4016.0,143.5355285,4.386498676,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-10,55894,2451,49499.0,3944.0,143.5817673,4.385086056,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-11,55917,2451,49499.0,3967.0,143.6408502,4.383282365,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-12,55959,2454,49499.0,4006.0,143.7487408,4.385353562,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-13,55959,2454,49471.0,4034.0,143.7487408,4.385353562,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-14,55985,2457,49477.0,4051.0,143.8155302,4.388675538,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-15,55985,2459,49481.0,4045.0,143.8155302,4.392247924,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-16,55995,2460,49499.0,4036.0,143.8412184,4.393249397,54000.0,54000.0,0.0,0.0,2862.0,0.14,0.14,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-17,56016,2460,49536.0,4020.0,143.8951637,4.391602399,0.0,0.0,0.0,0.0,2882.0,0.0,0.0,0.0,74.0,Oxford/AstraZeneca
Afghanistan,2021-03-18,56044,2462,49664.0,3918.0,143.9670907,4.392976947,0.0,0.0,0.0,0.0,2902.0,0.0,0.0,0.0,75.0,Oxford/AstraZeneca
Afghanistan,2021-03-19,56069,2462,49681.0,3926.0,144.0313113,4.39101821,0.0,0.0,0.0,0.0,2921.0,0.0,0.0,0.0,75.0,Oxford/AstraZeneca
Afghanistan,2021-03-20,56093,2462,49681.0,3950.0,144.092963,4.389139465,0.0,0.0,0.0,0.0,2941.0,0.0,0.0,0.0,76.0,Oxford/AstraZeneca
Afghanistan,2021-03-21,56103,2463,49737.0,3903.0,144.1186512,4.390139565,0.0,0.0,0.0,0.0,2961.0,0.0,0.0,0.0,76.0,Oxford/AstraZeneca
Afghanistan,2021-03-22,56153,2464,49743.0,3946.0,144.2470924,4.388011326,0.0,0.0,0.0,0.0,2980.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
Afghanistan,2021-03-23,56177,2466,49752.0,3959.0,144.3087441,4.389696851,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
Afghanistan,2021-03-24,56192,2466,49802.0,3924.0,144.3472764,4.388525057,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
Afghanistan,2021-03-25,56226,2467,49937.0,3822.0,144.4346164,4.387649842,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
Afghanistan,2021-03-26,56254,2467,49994.0,3793.0,144.5065434,4.385465922,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
Afghanistan,2021-03-27,56290,2469,49994.0,3827.0,144.5990211,4.386214248,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
Afghanistan,2021-03-28,56294,2470,50013.0,3811.0,144.6092963,4.387678971,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
Afghanistan,2021-03-29,56322,2472,50666.0,3184.0,144.6812234,4.389048684,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
Afghanistan,2021-03-30,56384,2476,51473.0,2435.0,144.8404904,4.391316686,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
Afghanistan,2021-03-31,56454,2484,51550.0,2420.0,145.020308,4.400042512,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,77.0,Oxford/AstraZeneca
