country,date,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Albania,10/01/2021,63595,1241,37648,24706,2209.8478,1.951411274,0,0,0,0,0,0,0,0,0,Pfizer/BioNTech
Albania,11/01/2021,63971,1247,37981,24743,2222.913337,1.949320786,0,0,0,0,64,0,0,0,22,Pfizer/BioNTech
Albania,12/01/2021,64627,1252,38421,24954,2245.708527,1.9372708,128,128,0,0,64,0,0,0,22,Pfizer/BioNTech
Albania,13/01/2021,65334,1256,38860,25218,2270.275905,1.922429363,188,188,0,60,63,0.01,0.01,0,22,Pfizer/BioNTech
Albania,14/01/2021,65994,1261,39246,25487,2293.210091,1.910779768,266,266,0,78,66,0.01,0.01,0,23,Pfizer/BioNTech
Albania,15/01/2021,66635,1265,39625,25745,2315.48405,1.898401741,308,308,0,42,62,0.01,0.01,0,22,Pfizer/BioNTech
Albania,16/01/2021,67216,1270,40090,25856,2335.673084,1.889431088,369,369,0,61,62,0.01,0.01,0,22,Pfizer/BioNTech
Albania,17/01/2021,67690,1277,40453,25960,2352.143999,1.886541587,405,405,0,36,58,0.01,0.01,0,20,Pfizer/BioNTech
Albania,18/01/2021,67982,1281,40870,25831,2362.290639,1.884322321,447,447,0,42,55,0.02,0.02,0,19,Pfizer/BioNTech
Albania,19/01/2021,68568,1287,41464,25817,2382.653416,1.876968848,483,483,0,36,51,0.02,0.02,0,18,Pfizer/BioNTech
Albania,20/01/2021,69238,1291,41969,25978,2405.935089,1.864583032,519,519,0,36,47,0.02,0.02,0,16,Pfizer/BioNTech
Albania,21/01/2021,69916,1296,42426,26194,2429.494753,1.853652955,549,549,0,30,40,0.02,0.02,0,14,Pfizer/BioNTech
Albania,22/01/2021,70655,1303,42895,26457,2455.174091,1.844172387,0,0,0,0,34,0,0,0,12,Pfizer/BioNTech
Albania,23/01/2021,71441,1310,43384,26747,2482.486622,1.83368094,0,0,0,0,26,0,0,0,9,Pfizer/BioNTech
Albania,24/01/2021,72274,1315,43890,27069,2511.432344,1.819464814,0,0,0,0,21,0,0,0,7,Pfizer/BioNTech
Albania,25/01/2021,72812,1324,44291,27197,2530.12718,1.818381585,0,0,0,0,15,0,0,0,5,Pfizer/BioNTech
Albania,26/01/2021,73691,1332,44880,27479,2560.671346,1.807547733,0,0,0,0,9,0,0,0,3,Pfizer/BioNTech
